# guest=45684 ir=276985 host_bytes=1636864 ir/guest=6.06 hostinsn/guest=8.96 dyn_total=650398

mnemonic	form	mem	bits	n	%n	ir/g	hostI/g	%IR	%host	dyn%	dyn_host%	top IR ops (per guest insn)
RET	-	-	0	1858	4.07	6.54	4.55	4.39	2.06	1.25	0.65	PopRSBx1.0 SetLocationx1.0 SetHostGPRx1.0 LoadMemoryx1.0 Addx1.0
CPUID	-	-	0	62	0.14	175.00	217.00	3.92	3.29	0.01	0.23	ZeroExtend64x29.0 ZeroExtend32x28.0 LoadImmx28.0 Selectx24.0 StoreUniformx21.0
MOV	r,i	-	32	2075	4.54	4.91	4.01	3.68	2.03	0.76	0.35	AdvancePCx1.0 ZeroExtend32x1.0 ZeroExtend64x1.0 LoadImmx1.0 StoreUniformx1.0
XOR	r,r	-	32	921	2.02	10.37	14.42	3.45	3.24	1.10	1.83	StoreUniformx1.9 LoadUniformx1.6 ZeroExtend32x1.0 AdvancePCx1.0 LoadImmx1.0
CALL	imm	-	32	1122	2.46	7.46	16.04	3.02	4.40	1.25	2.30	LoadImmx1.5 SetLocationx1.0 PushRSBx1.0 StoreMemoryx1.0 Subx1.0
CMP	r,m	[rip]	32	1029	2.25	8.00	17.00	2.97	4.27	0.00	0.00	StoreUniformx1.0 AdvancePCx1.0 LoadImmx1.0 Subx1.0 GetOperandx1.0
POP	r	-	64	1206	2.64	5.91	4.37	2.57	1.29	0.83	0.41	SetHostGPRx1.5 AdvancePCx1.0 LoadMemoryx1.0 Addx1.0 GetHostGPRx1.0
JZ	imm	-	8	2083	4.56	3.30	5.11	2.48	2.60	3.88	2.27	LoadImmx2.2 CondSelectx1.0 AdvancePCx0.2
INC	m	[rip]	32	514	1.13	13.00	49.00	2.41	6.15	0.00	0.00	LoadImmx3.0 StoreUniformx1.0 SaveFlagsx1.0 AtomicRMWx1.0 GetOperandx1.0
MOV	r,r	-	64	2346	5.14	2.84	1.53	2.41	0.88	5.97	1.05	AdvancePCx0.9 StoreUniformx0.8 LoadUniformx0.6 GetHostGPRx0.3 SetHostGPRx0.1
PUSH	r	-	64	953	2.09	5.89	3.91	2.03	0.91	0.83	0.37	GetHostGPRx1.5 AdvancePCx1.0 SetHostGPRx1.0 Subx1.0 StoreMemoryx1.0
TEST	r,r	-	64	679	1.49	7.51	10.76	1.84	1.79	2.71	3.34	StoreUniformx0.9 AdvancePCx0.9 LoadImmx0.9 SaveFlagsx0.9 ClearFlagsx0.9
AND	r,i	-	32	465	1.02	10.62	13.35	1.78	1.52	3.52	5.38	LoadImmx2.0 StoreUniformx2.0 ZeroExtend32x1.0 ZeroExtend64x1.0 ClearFlagsx1.0
MOV	r,m	[rip]	32	814	1.78	5.91	6.87	1.74	1.37	0.03	0.03	AdvancePCx1.0 LoadMemoryx1.0 ZeroExtend32x1.0 ZeroExtend64x1.0 StoreUniformx1.0
ADD	r,i	-	64	611	1.34	7.80	14.36	1.72	2.14	0.77	1.27	LoadImmx2.0 StoreUniformx1.4 SaveFlagsx1.0 Addx1.0 AdvancePCx1.0
MOV	r,r	-	32	957	2.09	4.83	3.86	1.67	0.90	6.29	2.79	ZeroExtend64x1.0 AdvancePCx1.0 ZeroExtend32x1.0 StoreUniformx0.9 LoadUniformx0.6
